axis snp loading PC1 PC2 PC3 predictor correlation
1 locus_51.03 0.0775896609881538 0.121542932753202 0.641189050674841 -0.164343325559669 PC2 0.641189050674841
1 locus_121.01 -0.120739954992764 -0.507720180099879 0.0280947785244839 0.158053304833284 PC1 0.507720180099879
1 locus_144.04 0.138807276762083 0.530679458079865 0.27255663220237 -0.0665374024468946 PC1 0.530679458079865
1 locus_153.04 -0.152164029205105 -0.614448225451645 -0.0528522660476545 0.200682837385971 PC1 0.614448225451645
1 locus_175.01 -0.179627902653608 -0.743613790332167 -0.250050914854189 -0.010175348428513 PC1 0.743613790332167
1 locus_176.02 0.0718559463604759 0.328354929476908 -0.358682713683994 -0.338419633071674 PC2 0.358682713683994
1 locus_177.04 0.028645935259729 0.255810252717115 -0.659827779134035 -0.208905936950073 PC2 0.659827779134035
1 locus_196.01 -0.115655967455393 -0.573353566133505 -0.0550842212176928 -0.230126100952677 PC1 0.573353566133505
1 locus_201.04 -0.0706871661430248 -0.297973479266804 0.0945168225708246 0.166495927713748 PC1 0.297973479266804
1 locus_202.03 -0.117942399285109 -0.373901692720438 -0.737660591100335 -0.172718665844673 PC2 0.737660591100335
1 locus_389.02 -0.111601752317227 -0.476414687129875 0.0465252779287678 0.141581049039112 PC1 0.476414687129875
1 locus_480.02 0.0971421243380789 0.327783406830666 0.522302267108733 0.127337657303011 PC2 0.522302267108733
1 locus_1258.04 -0.138160290369767 -0.560343398837106 -0.127400596044101 0.0959538482183623 PC1 0.560343398837106
1 locus_1418.01 -0.0615160270351922 -0.305276748383779 0.293732451910044 0.192986655374795 PC1 0.305276748383779
1 locus_1509.03 -0.119109720223636 -0.524346360468303 0.181507653573232 0.225314304182644 PC1 0.524346360468303
1 locus_1524.04 -0.13273131392684 -0.411482829752461 -0.354496187102825 0.303846211554223 PC1 0.411482829752461
1 locus_1551.03 -0.156777922608993 -0.709924749391578 -0.035907685086003 -0.0410592814007383 PC1 0.709924749391578
1 locus_1623.03 0.120371592348375 0.382723671121442 0.735784740565821 0.163433034648452 PC2 0.735784740565821
1 locus_1633.01 0.109787473058548 0.3948341800822 0.0712081498986048 -0.28025318706943 PC1 0.3948341800822
1 locus_1716.02 0.115387676176359 0.491457770320741 -0.0568123253932442 -0.158788170555703 PC1 0.491457770320741
1 locus_1779.02 0.108649089680815 0.541171142364457 0.0729729501842996 0.245818905506996 PC1 0.541171142364457
1 locus_1781.04 0.0356134365343851 0.102095156363292 -0.0625925346950003 -0.264805225600849 PC3 0.264805225600849
1 locus_1814.02 0.104199618375095 0.509628014388131 0.130794764870591 0.262858699324817 PC1 0.509628014388131
1 locus_1902.02 -0.0169011398310295 -0.260024250077956 0.279798869004977 -0.361659586832846 PC3 0.361659586832846
1 locus_1929.04 0.0320826118045579 0.145344999440508 -0.133412811024078 -0.129270941766608 PC1 0.145344999440508
1 locus_2071.04 0.0917844562350429 0.274017293550002 0.713496426803494 0.212323862471204 PC2 0.713496426803494
1 locus_2081.02 0.126070798279205 0.435423393783458 0.244070943728916 -0.225014488376105 PC1 0.435423393783458
1 locus_2125.04 0.103916059412806 0.522838126610129 0.059460635887283 0.243130684302155 PC1 0.522838126610129
1 locus_2139.01 0.111601752317227 0.476414687129875 -0.0465252779287677 -0.141581049039112 PC1 0.476414687129875
1 locus_2229.02 0.181423378037683 0.75344294150237 0.228093076342323 -0.00538965330616648 PC1 0.75344294150237
1 locus_2231.01 0.203467136452044 0.848205009722737 0.209374064920449 -0.0404069942783352 PC1 0.848205009722737
1 locus_2239.04 -0.0333989237901135 -0.200676160965918 0.636454518136546 0.451173551128085 PC2 0.636454518136546
1 locus_2245.02 0.093683776089234 0.320718346494584 0.71241802298886 0.343222683928306 PC2 0.71241802298886
1 locus_2257.02 0.112848588319075 0.342694575806411 0.768485775574627 0.174547457429638 PC2 0.768485775574627
1 locus_2260.02 -0.116786370445504 -0.355832777686522 -0.711982570059398 -0.103092481555012 PC2 0.711982570059398
1 locus_2262.03 0.051828119307619 0.249815178926413 -0.147782625179741 -0.0904854300780639 PC1 0.249815178926413
1 locus_2265.03 0.0989816971954092 0.455998548728512 -0.0449269927485987 -0.0133474773911003 PC1 0.455998548728512
1 locus_2275.01 0.103916059412806 0.522838126610129 0.059460635887283 0.243130684302155 PC1 0.522838126610129
1 locus_2629.04 -0.0283488512591384 -0.266392567399165 0.690001181401111 0.19719194530484 PC2 0.690001181401111
1 locus_2773.03 0.145096716120205 0.674769218709355 0.112340046812953 0.176909660262833 PC1 0.674769218709355
1 locus_3119.01 0.116703449925885 0.428434319961895 0.133608752961584 -0.210954965303601 PC1 0.428434319961895
1 locus_3324.03 -0.00754174781053641 -0.183469151712809 0.5744534273215 0.0456662640557805 PC2 0.5744534273215
1 locus_3376.04 0.118979927122218 0.498604865013902 -0.0542360900044918 -0.187696058269233 PC1 0.498604865013902
1 locus_3791.01 0.09139596258625 0.352211590636861 -0.0144710081828076 -0.224148213163269 PC1 0.352211590636861
1 locus_3989.01 0.149593389650643 0.530693790867761 0.119242849406129 -0.385355255856289 PC1 0.530693790867761
1 locus_4511.03 0.122607938260264 0.531361985160658 -0.0407836449252485 -0.117858755031025 PC1 0.531361985160658
1 locus_4723.02 0.151033790582205 0.706547553111838 0.149694648214501 0.230670243219392 PC1 0.706547553111838
1 locus_4732.03 -0.0220347042427277 -0.236865310581795 0.253604459809834 -0.226886269758237 PC2 0.253604459809834
1 locus_5122.03 -0.102577340176631 -0.35757348404725 -0.595686070907381 -0.217362462560227 PC2 0.595686070907381
1 locus_5150.03 -0.114826745600938 -0.555132744855611 -0.0763908280369428 -0.200896330808959 PC1 0.555132744855611
1 locus_5205.02 -0.107923229998869 -0.331609694882737 -0.738931016235584 -0.184238568793862 PC2 0.738931016235584
1 locus_5241.04 -0.13824803422673 -0.623284373577918 -0.241286834331046 -0.232121265054318 PC1 0.623284373577918
1 locus_5243.04 -0.0264496676208171 -0.00228752627079363 -0.602122340943003 -0.184249182650871 PC2 0.602122340943003
1 locus_5258.03 -0.0387761259644096 -0.194983383114953 0.164313883847632 0.0923889322985361 PC1 0.194983383114953
1 locus_5275.03 -0.125733548557761 -0.435025506158618 -0.230954504259344 0.233968878351634 PC1 0.435025506158618
1 locus_5277.04 -0.0936645241657935 -0.29998995071272 -0.704593376840576 -0.264106737354259 PC2 0.704593376840576
1 locus_5283.04 -0.0395793150195122 -0.179212384768511 0.12872020556639 0.1246668938376 PC1 0.179212384768511
1 locus_5287.02 0.040093948366648 0.21727584793809 -0.634991493313356 -0.49696969644138 PC2 0.634991493313356
1 locus_5291.02 0.0726968402651541 0.134955470478603 0.534663153742267 -0.14577497477657 PC2 0.534663153742267
1 locus_5305.04 0.060103772290135 0.31792530836322 -0.538477093577112 -0.366905505667954 PC2 0.538477093577112
1 locus_5317.04 -0.114925645318769 -0.3113768773036 -0.706441847768703 0.027123276731311 PC2 0.706441847768703
1 locus_5347.01 0.0296437009896997 0.172997658036763 -0.63465820738105 -0.486502406746425 PC2 0.63465820738105
1 locus_5358.04 0.0352304443497941 0.187418135565184 -0.632934753382701 -0.522256678652317 PC2 0.632934753382701
1 locus_5374.03 0.0705795566110314 0.296974260603472 -0.0906203065601761 -0.164454478646933 PC1 0.296974260603472
1 locus_5381.04 0.108649089680815 0.541171142364457 0.0729729501842996 0.245818905506996 PC1 0.541171142364457
