axis snp loading PC1 PC2 PC3 predictor correlation
1 locus_119.01 -0.100855162735064 -0.214341698163922 -0.164606205861923 0.092640766923427 PC1 0.214341698163922
1 locus_244.04 0.250005701128804 0.741261828156302 0.165968692639169 0.110213875979811 PC1 0.741261828156302
1 locus_606.02 0.273123929435183 0.526041954302032 0.634165901662951 0.141525659961937 PC2 0.634165901662951
1 locus_1202.04 0.0300838057101177 0.0278241291834347 0.130918608625614 0.0675508710695912 PC2 0.130918608625614
1 locus_1347.01 -0.15003291738813 -0.494939933272983 0.032574096679063 0.137299811743774 PC1 0.494939933272983
1 locus_1834.04 0.0932566229069574 0.211171200722591 0.185887857213569 0.121364827813727 PC1 0.211171200722591
1 locus_2192.03 0.199747548983714 0.460638312365385 0.326910704132044 0.0377296862649797 PC1 0.460638312365385
1 locus_2196.02 -0.0502800370462463 -0.0931325303856026 -0.156794787732579 -0.156844030769783 PC3 0.156844030769783
1 locus_2218.01 -0.301229020702616 -0.58794393243101 -0.677864978522297 -0.120498140434348 PC2 0.677864978522297
1 locus_2261.01 -0.0217628405346379 -0.00956128270138379 -0.114767700227273 -0.0618775222033853 PC2 0.114767700227273
1 locus_2283.02 -0.167880291448243 -0.475161696051564 -0.204299802450251 -0.292820671124868 PC1 0.475161696051564
1 locus_3332.03 0.0480078850723158 0.181338923882746 -0.0501032646961706 -0.0572217309166865 PC1 0.181338923882746
1 locus_4558.01 -0.257498690635819 -0.701328958735097 -0.247112688045178 -0.0301496974985566 PC1 0.701328958735097
1 locus_4759.01 -0.301229020702616 -0.58794393243101 -0.677864978522297 -0.120498140434348 PC2 0.677864978522297
1 locus_4827.03 0.286477403065173 0.54859739666422 0.661124331320213 0.113901049407956 PC2 0.661124331320213
1 locus_4865.04 0.286477403065173 0.54859739666422 0.661124331320213 0.113901049407956 PC2 0.661124331320213
1 locus_5223.04 0.252954784309348 0.408879007308368 0.721941502673406 0.173701193899086 PC2 0.721941502673406
1 locus_5238.01 -0.286477403065173 -0.54859739666422 -0.661124331320213 -0.113901049407956 PC2 0.661124331320213
1 locus_5242.02 -0.192167735411914 -0.623925116171545 0.00995306270573099 0.114733727518072 PC1 0.623925116171545
1 locus_5306.02 -0.157203225503187 -0.509062340456887 0.0287890975510932 0.180889795561646 PC1 0.509062340456887
1 locus_5322.01 -0.143578146969504 -0.484713347712006 0.0484455201148649 0.130731339691983 PC1 0.484713347712006
1 locus_5325.01 -0.301229020702616 -0.58794393243101 -0.677864978522297 -0.120498140434348 PC2 0.677864978522297
1 locus_5327.01 -0.252954784309348 -0.408879007308368 -0.721941502673406 -0.173701193899086 PC2 0.721941502673406
1 locus_5345.04 0.0775422940696468 0.134570576688591 0.172379020069942 -0.0782078547381214 PC2 0.172379020069942
1 locus_5353.02 0.0626455799237658 0.19042583709125 0.107189302914926 0.306688124829518 PC3 0.306688124829518
1 locus_5456.02 -0.301229020702616 -0.58794393243101 -0.677864978522297 -0.120498140434348 PC2 0.677864978522297
1 locus_5490.04 0.178105440858124 0.57621761590618 -0.010908124566702 -0.125134115752586 PC1 0.57621761590618
1 locus_5509.04 0.286477403065173 0.54859739666422 0.661124331320213 0.113901049407956 PC2 0.661124331320213
1 locus_5646.02 0.030398562926055 0.00939062524149089 0.218211301257341 0.28393800039818 PC3 0.28393800039818
1 locus_5874.03 -0.146014132081488 -0.313997420111892 -0.250528514601311 0.0652087003076162 PC1 0.313997420111892
1 locus_7042.01 -0.19353016273803 -0.487759915552531 -0.226558396126947 0.0583504623310847 PC1 0.487759915552531
1 locus_7915.03 0.197389752720547 0.440680308490041 0.347570137329371 0.0435088947436552 PC1 0.440680308490041
1 locus_9877.02 -0.252954784309348 -0.408879007308368 -0.721941502673406 -0.173701193899086 PC2 0.721941502673406
1 locus_11086.02 -0.211133022023729 -0.289836527330889 -0.646050347586806 -0.00112404947127958 PC2 0.646050347586806
1 locus_14755.01 -0.209849958631917 -0.32757056254164 -0.571082107923361 0.0324618791168147 PC2 0.571082107923361
1 locus_14913.03 0.149263274608976 0.12952957850087 0.563629610732171 -0.0447993695634313 PC2 0.563629610732171
1 locus_15328.03 0.0441314322179499 0.0753261276989368 0.125609843073087 0.0530541631759411 PC2 0.125609843073087
1 locus_15370.03 0.12723803801451 -0.0707638818077937 0.673714406552667 -0.391343335126993 PC2 0.673714406552667
1 locus_16576.03 0.250005701128804 0.741261828156302 0.165968692639169 0.110213875979811 PC1 0.741261828156302
1 locus_16679.01 -0.109338128633813 -0.231128090622938 -0.0732457656405724 0.510198574515195 PC3 0.510198574515195
1 locus_17543.04 0.219100311519548 0.366198273911521 0.588821756757207 0.083481086199177 PC2 0.588821756757207
1 locus_17699.02 -0.257785052715492 -0.549382974031538 -0.411995066385799 0.260992489407936 PC1 0.549382974031538
1 locus_17772.04 0.286477403065173 0.54859739666422 0.661124331320213 0.113901049407956 PC2 0.661124331320213
1 locus_17827.01 -0.0893072126590489 -0.26317387373267 -0.113957512599641 -0.238649079210374 PC1 0.26317387373267
1 locus_17862.04 0.0583875591266468 0.0934166197265142 0.179265706656011 0.0825744678793815 PC2 0.179265706656011
1 locus_17887.04 0.252954784309348 0.408879007308368 0.721941502673406 0.173701193899086 PC2 0.721941502673406
1 locus_18687.02 -0.15003291738813 -0.494939933272983 0.032574096679063 0.137299811743774 PC1 0.494939933272983
1 locus_19932.01 -0.223275290971381 -0.615150968182133 -0.150961902031129 0.173533606743946 PC1 0.615150968182133
1 locus_20513.04 0.232911208691619 0.541501661682258 0.281057435180262 -0.312447382453393 PC1 0.541501661682258
1 locus_21155.02 -0.0520015958743138 -0.343139410598831 0.315619765242451 0.176950589463922 PC1 0.343139410598831
1 locus_21802.01 -0.223275290971381 -0.615150968182133 -0.150961902031129 0.173533606743946 PC1 0.615150968182133
1 locus_22015.03 0.265614595635689 0.581727024264274 0.385574768702399 -0.323409176957772 PC1 0.581727024264274
1 locus_22130.04 0.171802115204083 0.416948281376671 0.143650717069797 -0.368299865635552 PC1 0.416948281376671
1 locus_22195.02 -0.286024073570138 -0.79458370602028 -0.170504724093397 0.270308154030977 PC1 0.79458370602028
1 locus_22287.04 0.218790282286722 0.462229878262286 0.379775136745201 -0.130814930671853 PC1 0.462229878262286
1 locus_22402.03 0.0677321768505958 0.252569885477777 -0.0750762121508202 -0.117238616301231 PC1 0.252569885477777
1 locus_22869.04 0.223607843629575 0.429551820372172 0.461971440018281 -0.109697551846185 PC2 0.461971440018281
1 locus_23680.03 0.267793672286779 0.45182730194084 0.661922632398761 -0.0932430640021224 PC2 0.661922632398761
1 locus_23869.03 0.132725137470871 0.367022585499588 0.167208380627948 0.201196278658313 PC1 0.367022585499588
1 locus_23911.02 -0.223275290971381 -0.615150968182133 -0.150961902031129 0.173533606743946 PC1 0.615150968182133
1 locus_23975.03 0.140391525227567 0.499151265328062 0.00155046533220925 0.211104895459277 PC1 0.499151265328062
1 locus_24044.04 0.18153368137382 0.226592472403918 0.57965903174775 -0.0428677722283076 PC2 0.57965903174775
1 locus_24134.02 0.111127719513172 0.405149781468761 -0.0746977215759548 -0.0626757461693394 PC1 0.405149781468761
1 locus_24944.03 0.163803441102777 0.352331951325123 0.292365254137144 -0.0294124887473976 PC1 0.352331951325123
1 locus_26017.01 -0.145743227654036 -0.308186368039601 -0.179821908146685 0.365190649686013 PC3 0.365190649686013
1 locus_26600.04 0.139430250921157 0.36568984559617 0.177435285918378 0.0983685845840825 PC1 0.36568984559617
1 locus_27408.04 0.2760599202291 0.644753944311755 0.418883257114137 -0.0247258430490504 PC1 0.644753944311755
1 locus_28113.02 0.111127719513172 0.405149781468761 -0.0746977215759548 -0.0626757461693394 PC1 0.405149781468761
1 locus_28772.04 0.0353120809920281 0.0545162306870563 0.111331188097301 0.0491394984111494 PC2 0.111331188097301
1 locus_29887.02 -0.25621346461313 -0.678725782023197 -0.166787742516188 0.38757334220343 PC1 0.678725782023197
1 locus_31264.02 0.263322114111157 0.707623606940262 0.189018415464086 -0.270337885578304 PC1 0.707623606940262
1 locus_32016.03 0.145439326552898 0.404638338525787 0.0793993335987356 -0.161724160436202 PC1 0.404638338525787
1 locus_33590.01 -0.223410233390336 -0.522478765085317 -0.360853869204024 -0.0677408729016211 PC1 0.522478765085317
1 locus_34249.04 0.300044963753379 0.628186844305748 0.585620322299976 0.0339972885477301 PC1 0.628186844305748
1 locus_37927.03 -0.306018839771813 -0.639008064591312 -0.485087977171104 0.404482262686358 PC1 0.639008064591312
1 locus_38170.02 -0.160524467336831 -0.404844044871497 -0.183848119020904 0.0623447035468279 PC1 0.404844044871497
1 locus_39277.04 0.25621346461313 0.678725782023197 0.166787742516188 -0.38757334220343 PC1 0.678725782023197
1 locus_39499.02 -0.188385339593473 -0.477955499577375 -0.20969043543544 0.0792070743767257 PC1 0.477955499577375
1 locus_40608.03 0.192579388626229 0.532790021826678 0.210307195186353 0.169925950778006 PC1 0.532790021826678
1 locus_43636.01 0.142811698440971 0.539060618623986 -0.14946092648685 -0.174091321892419 PC1 0.539060618623986
1 locus_44038.03 -0.0344387920467739 -0.182617558310021 0.0131925032633342 -0.362594307348518 PC3 0.362594307348518
1 locus_44377.01 -0.189644033176518 -0.455606220509829 -0.221201385533435 0.19504374021331 PC1 0.455606220509829
1 locus_44793.02 -0.201837667996607 -0.397561244818328 -0.431142245304307 -0.0143329731138077 PC2 0.431142245304307
1 locus_45147.02 -0.243629043121692 -0.512042858236594 -0.466105901336495 -0.00352872029939239 PC1 0.512042858236594
1 locus_45451.04 0.146857846517054 0.344544894843794 0.273657874279943 0.190515920047699 PC1 0.344544894843794
1 locus_46261.04 0.0486912242717573 0.143503689648056 0.112405269189161 0.322462593765441 PC3 0.322462593765441
1 locus_46389.03 0.0960630695767614 0.332104391083644 0.0743199311737496 0.367668117345403 PC3 0.367668117345403
